question_id,question_text,blooms_level,subject,verb_used,difficulty
BLOOM_00001,Design a novel fault-tolerant data pipeline for processing 10 million events/sec using Docker & Kubernetes Orchestration. Provide concrete examples from Biology & Genomics.,Create,Biology & Genomics,Design,Hard
BLOOM_00002,List the term 'MapReduce ETL Pipelines' as defined in standard textbooks.,Remember,Computer Science,List,Easy
BLOOM_00003,Appraise the robustness of the fault-tolerance mechanism in PyTorch Autograd. Explain all assumptions made.,Evaluate,Software Architecture,Justify,Hard
BLOOM_00004,Contrast how error handling is managed within Docker & Kubernetes Orchestration.,Understand,Mathematics & Statistics,Contrast,Easy-Medium
BLOOM_00005,Outline the primary components of a OAuth 2.0 Authentication architecture.,Remember,Mathematics & Statistics,Outline,Easy
BLOOM_00006,Appraise the robustness of the fault-tolerance mechanism in Garbage Collection Algorithms.,Evaluate,Data Engineering,Critique,Hard
BLOOM_00007,Solve the optimal parameters for RESTful Microservice Mesh given a dataset of size N=10000. Explain all assumptions made.,Apply,Computer Science,Solve,Medium
BLOOM_00008,Paraphrase why Docker & Kubernetes Orchestration is preferred over TCP/IP Packet Routing for distributed processing. Explain all assumptions made.,Understand,Physics,Paraphrase,Easy-Medium
BLOOM_00009,Write an algorithm to Solve RESTful Microservice Mesh using data structures from Parquet Columnar Storage. Explain all assumptions made.,Apply,Biology & Genomics,Solve,Medium
BLOOM_00010,Formulate a original algorithm to solve the NP-hard constraint in Apache Spark Distributed Datasets.,Create,Chemistry,Formulate,Hard
BLOOM_00011,Calculate how to scale GraphQL vs REST APIs across a multi-node cluster. Provide concrete examples from Computer Science.,Apply,Computer Science,Calculate,Medium
BLOOM_00012,Judge the cost-benefit analysis of cloud deployment for Parquet Columnar Storage workloads.,Evaluate,Software Architecture,Judge,Hard
BLOOM_00013,Discuss the core workflow when executing Transformer Attention Heads in production.,Understand,Software Architecture,Discuss,Easy-Medium
BLOOM_00014,Validate the cost-benefit analysis of cloud deployment for PostgreSQL Query Optimization workloads. Provide concrete examples from Software Architecture.,Evaluate,Software Architecture,Validate,Hard
BLOOM_00015,List three key characteristics of Kafka Streaming Queues.,Remember,Electrical Engineering,List,Easy
BLOOM_00016,Validate the statistical significance of test results obtained from MapReduce ETL Pipelines. Provide concrete examples from Business Analytics.,Evaluate,Business Analytics,Validate,Hard
BLOOM_00017,Validate the statistical significance of test results obtained from GraphQL vs REST APIs.,Evaluate,Electrical Engineering,Recommend,Hard
