question_id,question_number,question_stem,options,question_text
USER_Q001,Q1,All students who attend the placement training practice aptitude regularly. Ravi attends the placement training. Which conclusion follows?,A) Ravi will definitely get placed | B) Ravi will score the highest marks | C) Ravi practices aptitude regularly | D) Ravi is the best student in the class,All students who attend the placement training practice aptitude regularly. Ravi attends the placement training. Which conclusion follows? Options: A) Ravi will definitely get placed | B) Ravi will score the highest marks | C) Ravi practices aptitude regularly | D) Ravi is the best student in the class
USER_Q002,Q2,The college increased training hours because students performed poorly in the aptitude test. What was the cause?,A) Increased training hours | B) College examination | C) Poor performance in aptitude test | D) Student attendance,The college increased training hours because students performed poorly in the aptitude test. What was the cause? Options: A) Increased training hours | B) College examination | C) Poor performance in aptitude test | D) Student attendance
USER_Q003,Q3,All students who submit assignments on time receive internal marks. Arun submitted his assignment on time. Conclusion:,A) Arun will get full marks | B) Arun will receive internal marks | C) Arun will be absent | D) Arun will not write the examination,All students who submit assignments on time receive internal marks. Arun submitted his assignment on time. Conclusion: Options: A) Arun will get full marks | B) Arun will receive internal marks | C) Arun will be absent | D) Arun will not write the examination
USER_Q004,Q4,The road was closed because of heavy flooding. Which is the effect?,A) Heavy flooding | B) Rain | C) Road closure | D) Water,The road was closed because of heavy flooding. Which is the effect? Options: A) Heavy flooding | B) Rain | C) Road closure | D) Water
USER_Q005,Q5,Students are advised to carry an umbrella because rain is expected. What is the assumption?,A) Students like umbrellas | B) Umbrellas are expensive | C) Students may get wet if it rains | D) Students will not attend college,Students are advised to carry an umbrella because rain is expected. What is the assumption? Options: A) Students like umbrellas | B) Umbrellas are expensive | C) Students may get wet if it rains | D) Students will not attend college
USER_Q006,Q6,All final-year students must attend the placement orientation programme. Which conclusion follows?,A) Only selected students should attend | B) Final-year students are required to attend | C) First-year students must attend | D) No student should attend,All final-year students must attend the placement orientation programme. Which conclusion follows? Options: A) Only selected students should attend | B) Final-year students are required to attend | C) First-year students must attend | D) No student should attend
USER_Q007,Q7,The library extended its working hours during examinations. What is the most reasonable reason?,A) Students stopped studying | B) Students need more time to use library resources | C) Teachers are absent | D) Books are unavailable,The library extended its working hours during examinations. What is the most reasonable reason? Options: A) Students stopped studying | B) Students need more time to use library resources | C) Teachers are absent | D) Books are unavailable
USER_Q008,Q8,Ravi scored 85 marks because he practiced many questions. Which is the effect?,A) Practice | B) Questions | C) 85 marks | D) Examination,Ravi scored 85 marks because he practiced many questions. Which is the effect? Options: A) Practice | B) Questions | C) 85 marks | D) Examination
USER_Q009,Q9,"If it rains heavily, the cricket match will be cancelled. It rained heavily. What can be concluded?",A) The match definitely continued | B) The match will be cancelled | C) The players went home yesterday | D) The match was played indoors,"If it rains heavily, the cricket match will be cancelled. It rained heavily. What can be concluded? Options: A) The match definitely continued | B) The match will be cancelled | C) The players went home yesterday | D) The match was played indoors"
USER_Q010,Q10,All buses arriving after 9 AM are not allowed inside the campus. Bus A arrived at 9:30 AM. Conclusion:,A) Bus A entered the campus | B) Bus A is not allowed inside the campus | C) Bus A arrived before 9 AM | D) Bus A was empty,All buses arriving after 9 AM are not allowed inside the campus. Bus A arrived at 9:30 AM. Conclusion: Options: A) Bus A entered the campus | B) Bus A is not allowed inside the campus | C) Bus A arrived before 9 AM | D) Bus A was empty
