question_id,question_number,subject,question_text,predicted_blooms_level,confidence_score,cognitive_depth,identified_action_verb,estimated_difficulty,word_count
BANK_0001,Q1,Computer Networks,"In the following pairs of OSI protocol layer/sub-layer and its functionality, the INCORRECT pair is",Understand,0.5,2,N/A,Easy,15
BANK_0002,Q2,Computer Networks,"An IP machine Q has a path to another IP machine H via three IP routers R1, R2, and R3. Which information can an intruder learn through sniffing at R2 alone?",Understand,0.5,2,N/A,Medium,31
BANK_0003,Q3,Computer Networks,"To send same bit sequence, NRZ encoding require",Understand,0.5,2,N/A,Easy,8
BANK_0004,Q4,Computer Networks,"If there are n devices in a network, what is the number of cable links required for a fully connected mesh and star topology respectively?",Remember,0.98,1,what is,Medium,25
BANK_0005,Q5,Computer Networks,In networking terminology UTP means,Understand,0.5,2,N/A,Easy,5
BANK_0006,Q6,Computer Networks,Physical topology of FDDI is?,Understand,0.5,2,N/A,Easy,5
BANK_0007,Q7,Computer Networks,Bit stuffing refers to,Understand,0.5,2,N/A,Easy,4
BANK_0008,Q8,Computer Networks,How many characters per sec (7 bits + 1 parity) can be transmitted over a 2400 bps line if transfer is synchronous?,Understand,0.5,2,N/A,Medium,22
BANK_0009,Q9,Computer Networks,"What frequency range is used for microwave communications, satellite and radar?",Apply,0.98,3,use,Medium,11
BANK_0010,Q10,Computer Networks,A T-switch is used to,Apply,0.98,3,use,Medium,5
BANK_0011,Q11,Computer Networks,Consider a 50 kbps satellite channel with a 500 ms round trip propagation delay. How long to transmit 1000 bit frames?,Understand,0.5,2,N/A,Medium,21
BANK_0012,Q12,Computer Networks,"In Ethernet, which field is actually added at the physical layer and is not part of the frame?",Understand,0.5,2,N/A,Easy,18
BANK_0013,Q13,Computer Networks,The voltage ranges for a logic high and a logic low in RS-232 C standard is,Understand,0.5,2,N/A,Easy,16
BANK_0014,Q14,Computer Networks,IEEE 1394 is related to,Understand,0.5,2,N/A,Easy,5
BANK_0015,Q15,Computer Networks,One SAN switch has 24 ports supporting 8 Gbps Fiber Channel. What is the aggregate bandwidth?,Remember,0.98,1,what is,Easy,16
BANK_0016,Q16,Computer Networks,Data is transmitted continuously at 2.048 Mbps for 10 hours and received 512 bits errors. What is the bit error rate?,Remember,0.98,1,what is,Medium,21
BANK_0017,Q17,Computer Networks,What is the bit rate of a video terminal unit with 80 characters/line and 100ms sweep time?,Remember,0.98,1,what is,Easy,17
BANK_0018,Q18,Computer Networks,The encoding technique used to transmit the signal in gigabit ethernet over fiber optic is,Apply,0.98,3,use,Medium,15
BANK_0019,Q19,Computer Networks,Assume character code consists of 8 bits. Calculate number of characters transmitted per second at 2400 baud rate.,Apply,0.98,3,calculate,Medium,18
BANK_0020,Q20,Computer Networks,What is the bandwidth of the signal that ranges from 40 kHz to 4 MHz?,Remember,0.98,1,what is,Easy,15
BANK_0021,Q21,Computer Networks,How many bytes of data can be sent in 15 seconds over a serial link with baud rate of 9600 in asynchronous mode?,Understand,0.5,2,N/A,Medium,23
BANK_0022,Q22,Computer Networks,By using an eight bit optical encoder the degree of resolution that can be obtained is,Understand,0.5,2,N/A,Easy,16
BANK_0023,Q23,Computer Networks,Phase transition for each bit are used in,Apply,0.98,3,use,Medium,8
BANK_0024,Q24,Computer Networks,"In Ethernet when Manchester encoding is used, the bit rate is",Apply,0.6,3,use,Medium,11
BANK_0025,Q25,Computer Networks,Purpose of a start bit in RS-232 serial communication protocol is,Understand,0.5,2,N/A,Easy,11
BANK_0026,Q26,Computer Networks,Consider an Ethernet segment with transmission speed of 10^8 bits/sec and max segment length 500m. Calculate min frame size.,Apply,0.98,3,calculate,Medium,19
